id,providerId,firstName,lastName,fullName,dateOfBirth,nationality,gender,disciplines,metadata,height
1036027,79366611-97ae-46c0-b134-5ad2071c9623,Aleksandr,FEDOROV,Aleksandr FEDOROV,1994-09-06,RUS,M,['SW'],{},
1139272,4fc93585-25e8-4f22-b13d-361dcc82403d,Aleksandr,FEDOROVSKY,Aleksandr FEDOROVSKY,1959-04-17,URS,M,['SW'],{},
1083349,284da459-96ef-48c2-90f1-c4be3f555aa0,Igor,FEDOSEEV,Igor FEDOSEEV,,URS,M,['SW'],{},
1044347,29528baf-80a7-4aea-9d15-eb19eab57702,Yulia,FEDOSKINA,Yulia FEDOSKINA,,RUS,F,['SW'],{},
1223651,728fea07-a2ac-4c36-9095-a53495b2d6e9,Nikita,FEDOTOV,Nikita FEDOTOV,2004-08-27,KAZ,M,"['OW', 'SW']",{},
1163571,fbff9735-3396-4b2f-b2e3-4b9f4e4cbb28,Vadim,FEDOTOV,Vadim FEDOTOV,2003-06-21,CLB,M,['SW'],{},
1043016,7dbd8cd4-d5db-46a7-a278-8a992879afdd,Mariya,FEDOTOVA,Mariya FEDOTOVA,1999-04-06,KAZ,F,"['OW', 'SW']",{},
1010568,07338085-4e10-4e05-85c3-17b07dcb769a,Svetlana,FEDULOVA,Svetlana FEDULOVA,1984-03-17,RUS,F,['SW'],{},
1044381,c09bd5d7-1118-4af3-a0ed-0225f617edfa,Olexiy,FEDYNA,Olexiy FEDYNA,,UKR,M,['SW'],{},
1017408,f2e9322d-bd13-48c6-9bdc-aab538ca881f,Ryan,FEELEY,Ryan FEELEY,1991-10-12,USA,M,['SW'],{},
1061664,ff8ee36b-da2e-428b-8ff7-034e2637e1e1,Liwei,FEI,Liwei FEI,2003-03-12,CHN,M,['SW'],{},
1000140,278b5935-a9c2-4711-8ad1-d5bf8e79aa45,Jimmy,FEIGEN,Jimmy FEIGEN,1989-09-26,USA,M,['SW'],{},196.0
1154326,183e2d9b-d5f8-4f0d-beb8-1c9ec5d88c29,Peter,FEIL,Peter FEIL,1947-03-25,SWE,M,['SW'],{},
1215973,10212110-e8ef-444c-89c7-9f388ae367d1,Hana,FEJZULLAHU,Hana FEJZULLAHU,2004-11-08,KOS,F,['SW'],{},
1168083,260f5aac-20f1-48d9-82c6-71a354b65b58,Dora,FEKETE,Dora FEKETE,2001-05-07,HUN,F,['SW'],{},
1363549,175b3413-99f6-4894-81b1-579c6c271afc,Balint,FEKETE,Balint FEKETE,2005-08-08,CLB,M,['SW'],{},
1496380,9e5c4e87-99b4-42b6-adba-1348cd145af7,Samuel,FEKETE,Samuel FEKETE,2007-12-04,SVK,M,"['OW', 'SW']",{},
1040436,60adc6ea-3c08-44dd-941b-5827fe11f238,Mohamed Ali,FEKIRI,Mohamed Ali FEKIRI,1996-04-20,TUN,M,['SW'],{},
1051333,cb07d4c7-99bc-46de-8d63-0561db4df577,Girts,FELDBERGS,Girts FELDBERGS,1993-02-17,LAT,M,['SW'],{},
1040359,1278f85f-54a3-4e99-a53b-9997cc40c869,Mandy,FELDBINDER,Mandy FELDBINDER,1996-12-18,GER,F,['SW'],{},
